Timestamp,Attention,Status,Head Direction,Eyes Open,Blink Count,Blink Rate
2026-08-08 23:55:58,85,Highly Attentive,Forward,True,33,29.4
2026-08-08 23:55:59,94,Highly Attentive,Forward,True,33,29.0
2026-08-08 23:56:00,98,Highly Attentive,Forward,True,33,28.6
2026-08-08 23:56:01,97,Highly Attentive,Forward,False,34,29.0
2026-08-08 23:56:02,96,Highly Attentive,Forward,False,34,28.6
2026-08-08 23:56:03,98,Highly Attentive,Forward,True,35,29.0
2026-08-08 23:56:04,100,Highly Attentive,Forward,True,35,28.6
2026-08-08 23:56:05,95,Highly Attentive,Forward,False,35,28.2
2026-08-08 23:56:06,76,Attentive,Forward,False,36,28.7
2026-08-08 23:56:07,81,Attentive,Forward,True,38,29.8
2026-08-08 23:56:08,94,Highly Attentive,Forward,True,39,30.2
2026-08-08 23:56:09,80,Attentive,Down,True,40,30.6
2026-08-08 23:56:10,59,Slightly Distracted,Right,True,41,31.0
2026-08-08 23:56:11,55,Slightly Distracted,Right,True,41,30.6
2026-08-08 23:56:12,66,Slightly Distracted,Left,True,41,30.2
2026-08-08 23:56:13,62,Slightly Distracted,Left,True,41,29.8
2026-08-08 23:56:14,65,Slightly Distracted,Left,True,41,29.5
2026-08-08 23:56:15,65,Slightly Distracted,Left,True,41,29.1
2026-08-08 23:56:17,65,Slightly Distracted,Left,True,41,28.7
2026-08-08 23:56:18,65,Slightly Distracted,Left,True,41,28.4
2026-08-08 23:56:19,97,Highly Attentive,Forward,True,42,28.8
2026-08-08 23:56:20,86,Highly Attentive,Left,True,42,28.4
2026-08-08 23:56:21,65,Slightly Distracted,Left,True,42,28.1
2026-08-08 23:56:22,65,Slightly Distracted,Left,True,42,27.8
2026-08-08 23:56:23,64,Slightly Distracted,Left,True,42,27.5
2026-08-08 23:56:24,65,Slightly Distracted,Left,True,42,27.2
2026-08-08 23:56:25,65,Slightly Distracted,Left,True,42,26.9
2026-08-08 23:56:26,64,Slightly Distracted,Left,True,42,26.6
2026-08-08 23:56:27,87,Highly Attentive,Forward,True,42,26.3
2026-08-08 23:56:28,88,Highly Attentive,Forward,True,44,27.3
